Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn,Total Mins,Total Calls,Avg Calls per Day,HighServiceCaller
329-3458,118,39,91.5,125.0,15.56,219.9,113.0,18.69,229.0,99.0,10.31,12.7,8.0,3.43,2,False,553.1,345.0,2.9237288135593222,0
329-4391,193,0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3.0,3.13,1,False,427.70000000000005,311.0,1.61139896373057,0
329-4474,137,19,175.3,96.0,29.8,241.3,146.0,20.51,211.4,109.0,9.51,7.8,2.0,2.11,0,False,635.8,353.0,2.576642335766423,0
329-5114,123,0,257.9,92.0,43.84,211.6,71.0,17.99,189.3,104.0,8.52,9.4,2.0,2.54,2,False,668.1999999999999,269.0,2.186991869918699,0
329-5377,74,0,102.7,89.0,17.46,149.3,100.0,12.69,188.1,114.0,8.46,11.0,5.0,2.97,0,False,451.1,308.0,4.162162162162162,0
329-5400,122,30,230.1,108.0,39.12,287.6,76.0,24.45,177.1,85.0,7.97,6.9,3.0,1.86,2,False,701.7,272.0,2.2295081967213113,0
329-6144,81,0,154.5,84.0,26.27,216.2,91.0,18.38,229.8,82.0,10.34,13.7,3.0,3.7,1,False,614.2,260.0,3.2098765432098766,0
329-6191,41,37,239.8,110.0,40.77,221.9,115.0,18.86,189.1,100.0,8.51,7.3,1.0,1.97,2,False,658.1,326.0,7.951219512195122,0
329-6192,66,40,141.7,87.0,24.09,268.3,89.0,22.81,241.3,68.0,10.86,8.5,7.0,2.3,0,False,659.8,251.0,3.803030303030303,0
329-6562,138,0,170.5,87.0,28.99,118.2,116.0,10.05,187.9,111.0,8.46,11.2,7.0,3.02,2,False,487.8,321.0,2.3260869565217392,0
329-6603,65,0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,111.0,9.4,12.7,6.0,3.43,4,True,579.1000000000001,337.0,5.184615384615385,1
329-6731,123,0,123.2,104.0,20.94,190.0,117.0,16.15,170.3,95.0,7.66,12.9,5.0,3.48,4,True,496.4,321.0,2.6097560975609757,1
329-7102,63,0,132.9,122.0,22.59,67.0,62.0,5.7,160.4,121.0,7.22,9.9,2.0,2.67,3,False,370.2,307.0,4.873015873015873,0
329-7347,121,0,170.4,108.0,28.97,350.5,68.0,29.79,297.0,87.0,13.37,11.2,3.0,3.02,0,True,829.1,266.0,2.1983471074380163,0
329-8056,95,23,160.3,87.0,27.25,202.4,101.0,17.2,191.1,122.0,8.6,7.4,3.0,2.0,0,False,561.2,313.0,3.294736842105263,0
329-8115,86,16,145.7,88.0,24.77,191.0,129.0,16.24,215.5,82.0,9.7,11.3,7.0,3.05,0,False,563.5,306.0,3.558139534883721,0
329-8436,160,0,97.5,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3,False,634.1000000000001,248.0,1.55,0
329-8638,90,22,124.5,94.0,21.17,231.7,90.0,19.69,222.2,108.0,10.0,6.4,12.0,1.73,1,False,584.8,304.0,3.3777777777777778,0
329-8669,156,0,237.7,122.0,40.41,181.5,91.0,15.43,185.7,151.0,8.36,7.7,4.0,2.08,1,False,612.6,368.0,2.358974358974359,0
329-8788,24,0,235.6,132.0,40.05,115.9,129.0,9.85,185.4,136.0,8.34,16.2,2.0,4.37,0,False,553.1,399.0,16.625,0
329-9001,147,0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6.0,1.92,0,False,479.00000000000006,275.0,1.870748299319728,0
329-9046,74,0,148.5,111.0,25.25,146.5,42.0,12.45,289.2,83.0,13.01,9.9,6.0,2.67,3,False,594.1,242.0,3.27027027027027,0
329-9067,111,0,249.8,109.0,42.47,242.4,106.0,20.6,231.8,78.0,10.43,11.6,4.0,3.13,0,True,735.6,297.0,2.675675675675676,0
329-9364,148,0,202.0,102.0,34.34,243.2,128.0,20.67,261.3,90.0,11.76,10.9,3.0,2.94,1,False,717.4,323.0,2.1824324324324325,0
329-9517,47,27,165.0,89.0,28.05,127.3,118.0,10.82,284.4,95.0,12.8,7.7,4.0,2.08,2,False,584.4000000000001,306.0,6.51063829787234,0
329-9667,115,0,251.3,69.0,42.72,252.5,96.0,21.46,118.3,112.0,5.32,9.9,1.0,2.67,3,True,632.0,278.0,2.417391304347826,0
329-9689,102,0,224.2,81.0,38.11,243.3,90.0,20.68,147.8,66.0,6.65,12.0,8.0,3.24,3,False,627.3,245.0,2.4019607843137254,0
329-9847,43,0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4.0,2.51,0,False,631.4,280.0,6.511627906976744,0
330-1175,106,33,81.6,120.0,13.87,235.6,85.0,20.03,150.9,113.0,6.79,9.9,4.0,2.67,1,False,478.0,322.0,3.0377358490566038,0
330-1627,87,33,125.0,99.0,21.25,235.3,81.0,20.0,215.3,95.0,9.69,10.2,7.0,2.75,2,False,585.8000000000001,282.0,3.2413793103448274,0
330-1835,67,0,171.7,80.0,29.19,110.4,81.0,9.38,195.4,111.0,8.79,11.9,4.0,3.21,2,False,489.4,276.0,4.119402985074627,0
330-2635,57,0,115.0,65.0,19.55,122.3,96.0,10.4,245.0,75.0,11.03,6.4,1.0,1.73,0,True,488.7,237.0,4.157894736842105,0
330-2662,107,27,283.4,104.0,48.18,224.1,152.0,19.05,241.3,63.0,10.86,14.4,7.0,3.89,2,False,763.1999999999999,326.0,3.046728971962617,0
330-2693,112,0,161.9,138.0,27.52,200.9,114.0,17.08,134.0,134.0,6.03,10.7,4.0,2.89,1,False,507.5,390.0,3.482142857142857,0
330-2849,43,0,241.9,101.0,41.12,129.4,121.0,11.0,264.8,104.0,11.92,5.9,3.0,1.59,1,False,642.0,329.0,7.651162790697675,0
330-2881,96,27,261.3,96.0,44.42,220.9,101.0,18.78,179.4,97.0,8.07,11.3,2.0,3.05,1,False,672.9,296.0,3.0833333333333335,0
330-3008,80,0,220.0,114.0,37.4,207.7,76.0,17.65,168.4,137.0,7.58,12.1,3.0,3.27,2,False,608.2,330.0,4.125,0
330-3429,183,0,116.7,92.0,19.84,213.8,112.0,18.17,214.3,112.0,9.64,9.7,6.0,2.62,2,False,554.5,322.0,1.7595628415300546,0
330-3589,137,0,174.4,120.0,29.65,156.3,98.0,13.29,136.5,121.0,6.14,10.2,5.0,2.75,0,False,477.40000000000003,344.0,2.510948905109489,0
330-4364,130,0,132.4,81.0,22.51,200.3,110.0,17.03,202.5,103.0,9.11,6.0,1.0,1.62,2,False,541.2,295.0,2.269230769230769,0
330-4419,107,0,157.1,79.0,26.71,162.6,124.0,13.82,150.0,138.0,6.75,12.1,6.0,3.27,1,False,481.8,347.0,3.2429906542056073,0
330-4914,106,0,52.2,106.0,8.87,220.1,113.0,18.71,112.3,95.0,5.05,11.4,2.0,3.08,2,False,396.0,316.0,2.981132075471698,0
330-4978,80,0,268.7,120.0,45.68,301.0,147.0,25.59,167.0,140.0,7.52,5.8,1.0,1.57,2,True,742.5,408.0,5.1,0
330-5168,63,49,214.9,86.0,36.53,198.2,89.0,16.85,170.8,139.0,7.69,8.2,5.0,2.21,0,False,592.1000000000001,319.0,5.063492063492063,0
330-5255,104,0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63.0,11.91,13.0,6.0,3.51,0,False,539.4,263.0,2.5288461538461537,0
330-5462,108,0,103.0,129.0,17.51,242.3,103.0,20.6,170.2,89.0,7.66,7.9,3.0,2.13,1,False,523.4,324.0,3.0,0
330-5824,137,0,258.0,112.0,43.86,246.5,117.0,20.95,173.2,100.0,7.79,10.9,3.0,2.94,0,True,688.6,332.0,2.423357664233577,0
330-6165,99,0,95.4,105.0,16.22,207.2,101.0,17.61,136.0,117.0,6.12,5.6,5.0,1.51,1,False,444.20000000000005,328.0,3.313131313131313,0
330-6208,123,0,150.0,98.0,25.5,89.8,95.0,7.63,326.0,91.0,14.67,11.1,3.0,3.0,3,False,576.9,287.0,2.3333333333333335,0
330-6436,50,31,302.7,93.0,51.46,240.5,119.0,20.44,193.9,103.0,8.73,13.6,14.0,3.67,3,False,750.7,329.0,6.58,0
330-6626,75,0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3.0,2.73,3,False,512.0,359.0,4.786666666666667,0
330-6630,165,0,207.7,109.0,35.31,164.8,94.0,14.01,54.5,91.0,2.45,7.9,3.0,2.13,0,False,434.9,297.0,1.8,0
330-7137,71,0,186.1,114.0,31.64,198.6,140.0,16.88,206.5,80.0,9.29,13.8,5.0,3.73,4,True,605.0,339.0,4.774647887323944,1
330-7483,86,0,176.3,79.0,29.97,259.2,97.0,22.03,287.4,78.0,12.93,6.2,3.0,1.67,0,False,729.1,257.0,2.988372093023256,0
330-7486,67,0,138.9,65.0,23.61,208.9,109.0,17.76,232.4,82.0,10.46,9.2,3.0,2.48,2,False,589.4000000000001,259.0,3.8656716417910446,0
330-7754,91,0,145.0,89.0,24.65,175.8,102.0,14.94,223.7,151.0,10.07,16.7,3.0,4.51,2,True,561.2,345.0,3.791208791208791,0
330-8142,79,0,144.0,90.0,24.48,135.8,91.0,11.54,212.4,129.0,9.56,13.0,4.0,3.51,1,False,505.20000000000005,314.0,3.9746835443037973,0
330-8173,141,37,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5.0,3.02,0,False,818.2,297.0,2.106382978723404,0
330-8351,60,0,183.0,110.0,31.11,206.7,93.0,17.57,203.8,119.0,9.17,11.1,6.0,3.0,1,False,604.6,328.0,5.466666666666667,0
330-9294,181,27,190.3,93.0,32.35,249.0,127.0,21.17,215.7,82.0,9.71,10.6,4.0,2.86,1,False,665.6,306.0,1.6906077348066297,0
330-9354,68,0,249.9,127.0,42.48,254.5,118.0,21.63,273.2,98.0,12.29,8.9,6.0,2.4,2,True,786.4999999999999,349.0,5.132352941176471,0
330-9833,76,0,198.3,130.0,33.71,217.1,86.0,18.45,188.4,96.0,8.48,12.5,3.0,3.38,0,False,616.3,315.0,4.144736842105263,0
331-1391,149,0,242.5,83.0,41.23,245.4,97.0,20.86,219.6,80.0,9.88,10.0,3.0,2.7,3,True,717.5,263.0,1.7651006711409396,0
331-2144,1,26,208.0,115.0,35.36,185.0,113.0,15.73,177.7,144.0,8.0,8.1,9.0,2.19,1,False,578.8000000000001,381.0,381.0,0
331-3174,131,39,69.1,122.0,11.75,101.3,136.0,8.61,104.8,94.0,4.72,9.1,4.0,2.46,0,False,284.3,356.0,2.717557251908397,0
331-3202,33,0,213.9,88.0,36.36,239.8,119.0,20.38,148.7,71.0,6.69,9.8,14.0,2.65,2,False,612.2,292.0,8.848484848484848,0
331-3698,174,0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5.0,4.19,3,False,667.6,308.0,1.7701149425287357,0
331-3842,59,0,153.6,92.0,26.11,205.5,88.0,17.47,114.5,89.0,5.15,12.5,10.0,3.38,1,False,486.1,279.0,4.728813559322034,0
331-4184,87,0,238.0,97.0,40.46,164.5,97.0,13.98,282.5,132.0,12.71,10.6,6.0,2.86,2,False,695.6,332.0,3.8160919540229883,0
331-4807,80,0,203.7,92.0,34.63,216.4,97.0,18.39,154.2,66.0,6.94,7.6,5.0,2.05,2,False,581.9,260.0,3.25,0
331-4902,131,36,214.2,115.0,36.41,161.7,117.0,13.74,264.7,102.0,11.91,9.5,4.0,2.57,3,False,650.0999999999999,338.0,2.5801526717557253,0
331-5138,22,0,110.3,107.0,18.75,166.5,93.0,14.15,202.3,96.0,9.1,9.5,5.0,2.57,0,False,488.6,301.0,13.681818181818182,0
331-5919,56,0,137.2,111.0,23.32,165.9,119.0,14.1,182.3,72.0,8.2,14.3,4.0,3.86,1,False,499.70000000000005,306.0,5.464285714285714,0
331-5962,172,47,274.9,102.0,46.73,186.6,118.0,15.86,245.0,123.0,11.03,8.8,2.0,2.38,1,False,715.3,345.0,2.005813953488372,0
331-5999,129,36,192.8,103.0,32.78,177.0,83.0,15.05,216.5,118.0,9.74,16.4,5.0,4.43,1,False,602.6999999999999,309.0,2.395348837209302,0
331-6229,49,28,214.4,78.0,36.45,235.2,100.0,19.99,206.2,107.0,9.28,8.0,13.0,2.16,3,False,663.8,298.0,6.081632653061225,0
331-6270,66,0,118.0,133.0,20.06,248.1,99.0,21.09,214.4,122.0,9.65,5.3,5.0,1.43,1,False,585.8,359.0,5.4393939393939394,0
331-6629,138,0,169.3,82.0,28.78,217.9,147.0,18.52,184.2,77.0,8.29,9.4,9.0,2.54,1,False,580.8000000000001,315.0,2.282608695652174,0
331-7342,55,8,222.5,104.0,37.83,171.5,94.0,14.58,377.5,114.0,16.99,9.7,2.0,2.62,1,False,781.2,314.0,5.709090909090909,0
331-7425,116,0,215.4,104.0,36.62,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5.0,3.4,3,False,711.3000000000001,297.0,2.560344827586207,0
331-8462,127,0,96.0,117.0,16.32,177.0,68.0,15.05,162.2,127.0,7.3,9.7,4.0,2.62,3,False,444.9,316.0,2.4881889763779528,0
331-8484,87,39,82.6,113.0,14.04,224.4,63.0,19.07,163.6,88.0,7.36,9.5,1.0,2.57,3,False,480.1,265.0,3.045977011494253,0
331-8713,43,0,135.8,125.0,23.09,163.2,88.0,13.87,229.8,106.0,10.34,12.6,3.0,3.4,0,False,541.4,322.0,7.488372093023256,0
331-8909,121,35,68.7,95.0,11.68,209.2,69.0,17.78,197.4,42.0,8.88,11.4,4.0,3.08,1,False,486.69999999999993,210.0,1.7355371900826446,0
331-9149,139,0,196.0,135.0,33.32,186.0,146.0,15.81,153.0,92.0,6.89,9.8,1.0,2.65,3,False,544.8,374.0,2.6906474820143886,0
331-9293,74,0,155.7,116.0,26.47,173.7,63.0,14.76,257.4,97.0,11.58,8.1,4.0,2.19,0,False,594.9,280.0,3.7837837837837838,0
331-9861,100,26,153.7,115.0,26.13,137.8,146.0,11.71,213.5,104.0,9.61,15.9,5.0,4.29,1,False,520.9,370.0,3.7,0
332-1060,41,0,143.6,117.0,24.41,152.4,108.0,12.95,194.4,110.0,8.75,8.6,3.0,2.32,1,False,499.0,338.0,8.24390243902439,0
332-1109,173,0,191.4,114.0,32.54,168.5,138.0,14.32,109.3,99.0,4.92,10.3,3.0,2.78,1,False,479.5,354.0,2.046242774566474,0
332-1494,96,0,97.6,98.0,16.59,105.5,118.0,8.97,220.2,105.0,9.91,11.6,9.0,3.13,1,False,434.9,330.0,3.4375,0
332-1502,46,0,90.4,108.0,15.37,276.2,77.0,23.48,146.5,111.0,6.59,12.7,2.0,3.43,1,False,525.8000000000001,298.0,6.478260869565218,0
332-1690,110,0,192.6,102.0,32.74,178.9,118.0,15.21,214.6,74.0,9.66,9.4,4.0,2.54,1,False,595.5,298.0,2.709090909090909,0
332-2126,123,0,163.1,119.0,27.73,249.4,51.0,21.2,168.2,77.0,7.57,9.0,10.0,2.43,1,False,589.7,257.0,2.089430894308943,0
332-2137,80,0,105.8,110.0,17.99,43.9,88.0,3.73,189.6,87.0,8.53,13.1,5.0,3.54,0,False,352.4,290.0,3.625,0
332-2258,86,38,123.0,158.0,20.91,133.9,119.0,11.38,138.2,103.0,6.22,13.3,4.0,3.59,1,False,408.4,384.0,4.465116279069767,0
332-2275,71,0,185.0,84.0,31.45,232.5,129.0,19.76,191.1,82.0,8.6,14.9,4.0,4.02,3,False,623.5,299.0,4.211267605633803,0
332-2462,39,0,60.4,158.0,10.27,306.2,120.0,26.03,123.9,46.0,5.58,12.4,3.0,3.35,1,False,502.9,327.0,8.384615384615385,0
332-2650,78,0,103.5,115.0,17.6,117.9,102.0,10.02,201.0,94.0,9.05,12.0,3.0,3.24,4,True,434.4,314.0,4.0256410256410255,1
332-2889,143,0,167.8,72.0,28.53,211.0,99.0,17.94,153.5,109.0,6.91,10.5,6.0,2.84,4,True,542.8,286.0,2.0,1
332-2965,45,0,159.8,91.0,27.17,120.4,86.0,10.23,163.0,93.0,7.34,10.6,3.0,2.86,2,False,453.80000000000007,273.0,6.066666666666666,0
332-3381,138,0,87.6,112.0,14.89,266.9,107.0,22.69,214.6,104.0,9.66,9.8,10.0,2.65,2,False,578.9,333.0,2.4130434782608696,0
332-3544,47,30,196.6,93.0,33.42,241.4,140.0,20.52,226.0,118.0,10.17,12.9,4.0,3.48,2,False,676.9,355.0,7.553191489361702,0
332-3617,88,0,181.5,116.0,30.86,187.0,119.0,15.9,220.3,96.0,9.91,10.5,7.0,2.84,1,False,599.3,338.0,3.840909090909091,0
332-3642,124,0,131.8,82.0,22.41,284.3,119.0,24.17,305.5,101.0,13.75,11.3,2.0,3.05,1,False,732.9,304.0,2.4516129032258065,0
332-3693,87,0,124.3,91.0,21.13,173.4,105.0,14.74,256.3,109.0,11.53,7.5,5.0,2.03,3,False,561.5,310.0,3.5632183908045976,0
332-3804,107,0,86.8,95.0,14.76,108.1,85.0,9.19,204.3,87.0,9.19,13.2,3.0,3.56,1,False,412.4,270.0,2.5233644859813085,0
332-4289,118,0,136.1,120.0,23.14,204.2,103.0,17.36,228.2,90.0,10.27,11.3,4.0,3.05,1,False,579.8,317.0,2.6864406779661016,0
332-4291,93,0,152.4,74.0,25.91,274.6,88.0,23.34,252.2,120.0,11.35,6.6,5.0,1.78,3,False,685.8000000000001,287.0,3.086021505376344,0
332-5084,111,0,176.9,128.0,30.07,102.8,56.0,8.74,213.7,84.0,9.62,10.5,2.0,2.84,4,True,503.9,270.0,2.4324324324324325,1
332-5521,122,0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4,True,547.7,320.0,2.622950819672131,1
332-5582,21,0,91.9,109.0,15.62,198.4,111.0,16.86,171.7,125.0,7.73,13.0,7.0,3.51,2,False,475.0,352.0,16.761904761904763,0
